id  Omega_m S_8     h       w_0     sigma_8 Omega_cdm
0	0.3282	0.6984	0.6766	-1.2376	0.6677	0.2809
1	0.1019	0.7826	0.7104	-1.6154	1.3428	0.0546
2	0.2536	0.6133	0.6238	-1.7698	0.667	0.2063
3	0.1734	0.7284	0.6584	-0.5223	0.9581	0.1261
4	0.3759	0.8986	0.6034	-0.9741	0.8028	0.3286
5	0.4758	0.7618	0.7459	-1.3046	0.6049	0.4285
6	0.1458	0.768	0.8031	-1.4498	1.1017	0.0985
7	0.3099	0.7861	0.694	-1.8784	0.7734	0.2626
8	0.4815	0.6804	0.6374	-0.7737	0.5371	0.4342
9	0.3425	0.7054	0.8006	-1.501	0.6602	0.2952
10	0.5482	0.6375	0.7645	-1.9127	0.4716	0.5009
11	0.2898	0.7218	0.6505	-0.6649	0.7344	0.2425
12	0.4247	0.7511	0.6819	-1.1986	0.6313	0.3774
13	0.3979	0.8476	0.7833	-1.1088	0.736	0.3506
14	0.1691	0.8618	0.789	-1.6903	1.1479	0.1218
15	0.1255	0.6131	0.7567	-0.9878	0.9479	0.0782
16	0.5148	0.8178	0.6691	-1.3812	0.6243	0.4675
17	0.1928	0.8862	0.6285	-0.8564	1.1055	0.1455
18	0.2784	0.65	0.7151	-1.0673	0.6747	0.2311
19	0.2106	0.8759	0.7388	-0.5667	1.0454	0.1633
20	0.443	0.8356	0.6161	-1.7037	0.6876	0.3957
21	0.4062	0.662	0.8129	-1.9866	0.5689	0.3589
22	0.2294	0.8226	0.7706	-0.8602	0.9407	0.1821
23	0.5095	0.7366	0.6988	-0.7164	0.5652	0.4622
24	0.3652	0.6574	0.7271	-1.5414	0.5958	0.3179
fid	0.2905	0.8231	0.6898	-1.0	0.8364	0.2432
SLICS	0.2905	0.8128	0.6898	-1.0	0.826	0.2432
